,danceability,energy,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,loudness,mode,duration_ms,time_signature,artist_name,release_date,song_name,song_name_formatted
125,0.486,0.871,9,0.337,0.0278,0.0,0.313,0.659,85.411,-4.475,0,171023,4,BTS,2020-02-01,Intro : Persona,intro-persona
126,0.645,0.862,11,0.0845,0.0933,0.0,0.193,0.803,119.947,-4.761,0,229773,4,BTS,2020-02-01,작은 것들을 위한 시 (Boy With Luv) [feat. Halsey],with
127,0.639,0.706,7,0.448,0.0104,0.0,0.132,0.259,105.782,-7.874,1,226321,4,BTS,2020-02-01,Make It Right,make-it-right
128,0.608,0.47,8,0.0428,0.226,0.0,0.0963,0.241,81.0,-6.73,1,227275,4,BTS,2020-02-01,Jamais Vu,
129,0.502,0.91,7,0.107,0.04,0.0,0.319,0.588,176.084,-2.769,1,249215,4,BTS,2020-02-01,Dionysus,dionysus
130,0.384,0.798,9,0.434,0.115,0.0,0.181,0.146,149.854,-6.439,0,259821,4,BTS,2020-02-01,Interlude : Shadow,interlude-shadow
131,0.719,0.757,2,0.0849,0.137,0.0,0.129,0.489,147.024,-5.167,0,198261,4,BTS,2020-02-01,Black Swan,black-swan
132,0.779,0.762,10,0.0631,0.0224,0.0,0.121,0.859,110.043,-5.188,0,180221,4,BTS,2020-02-01,Filter,filter
133,0.674,0.641,0,0.0339,0.149,0.0,0.0925,0.664,99.91,-5.139,0,234458,4,BTS,2020-02-01,My Time,my-time
134,0.643,0.667,0,0.151,0.0432,0.0,0.0904,0.478,145.999,-6.947,0,217404,4,BTS,2020-02-01,Louder than bombs,louder-than-bombs
135,0.583,0.817,9,0.099,0.118,0.0,0.338,0.437,105.935,-5.146,0,246381,4,BTS,2020-02-01,ON,on
136,0.72,0.824,10,0.128,0.0394,0.0,0.0509,0.333,165.996,-5.086,0,225012,4,BTS,2020-02-01,욱 (UGH!),
137,0.56,0.547,1,0.0675,0.0806,0.0,0.11,0.199,157.962,-6.456,1,250296,4,BTS,2020-02-01,00:00 (Zero O’Clock),
138,0.589,0.696,11,0.0725,0.017,0.0,0.0808,0.33,134.953,-7.981,1,233266,4,BTS,2020-02-01,Inner Child,inner-child
139,0.55,0.747,1,0.0407,0.0668,0.0,0.0536,0.649,79.979,-5.211,1,199339,4,BTS,2020-02-01,친구,
140,0.704,0.646,6,0.0596,0.0104,0.0,0.191,0.64,141.87,-6.658,1,208590,4,BTS,2020-02-01,Moon,moon
141,0.661,0.838,0,0.116,0.00491,0.0,0.287,0.526,91.463,-4.806,1,237540,4,BTS,2020-02-01,Respect,respect
